id,provinsi,klasifikasi_wilayah,jenis_kelamin,usia,pendidikan_terakhir,status_pekerjaan,status_pernikahan,jumlah_tanggungan,pendapatan_bulanan,total_pengeluaran,pengeluaran_makanan_pokok,pengeluaran_lauk_pauk,pengeluaran_sayur_buah,pengeluaran_jajan_makan_luar,pengeluaran_rokok_tembakau,pengeluaran_perumahan_listrik,pengeluaran_pakaian,pengeluaran_kesehatan,pengeluaran_pendidikan,pengeluaran_transportasi,pengeluaran_komunikasi,pengeluaran_hiburan_rekreasi,cicilan_hutang,tabungan_bulanan,rasio_tabungan_persen,skor_literasi_keuangan
1160,DKI Jakarta,Perkotaan,Perempuan,25.0,SMP,Buruh/Pekerja Harian,Menikah,1.0,3350000.0,2523000,227000.0,275000.0,126000.0,283000.0,93000.0,456000.0,110000.0,129000.0,116000.0,162000.0,100000.0,98000.0,0.0,827000.0,24.7,45.6
1824,DKI Jakarta,Perkotaan,Perempuan,23.0,SD,PNS/ASN,Menikah,2.0,9500000.0,8153000,598000.0,522000.0,300000.0,420000.0,13000.0,1597000.0,500000.0,695000.0,681000.0,1129000.0,341000.0,272000.0,1686000.0,1347000.0,14.2,49.1
979,Sumatera Selatan,Perkotaan,Laki-laki,59.0,Diploma,PNS/ASN,Menikah,,6500000.0,4624000,,582000.0,244000.0,282000.0,,896000.0,,236000.0,271000.0,441000.0,170000.0,186000.0,0.0,1876000.0,28.9,
760,Bali,Perkotaan,Perempuan,47.0,SD,Buruh/Pekerja Harian,Menikah,2.0,1700000.0,1274000,196000.0,186000.0,106000.0,160000.0,85000.0,181000.0,40000.0,58000.0,38000.0,86000.0,30000.0,30000.0,0.0,426000.0,25.1,32.5
875,Sumatera Selatan,Perkotaan,Laki-laki,17.0,Pascasarjana (S2/S3),Buruh/Pekerja Harian,,3.0,,2802000,246000.0,362000.0,151000.0,184000.0,36000.0,,148000.0,93000.0,197000.0,291000.0,140000.0,141000.0,,448000.0,,77.3
110,Jawa Barat,Perkotaan,Perempuan,49.0,SMA/SMK,Karyawan Swasta,Belum Menikah,0.0,6200000.0,5092000,322000.0,408000.0,,375000.0,17000.0,963000.0,188000.0,305000.0,0.0,606000.0,204000.0,183000.0,0.0,1108000.0,17.9,55.2
1178,DKI Jakarta,Perkotaan,Perempuan,43.0,SMP,PNS/ASN,Menikah,1.0,10250000.0,8953000,689000.0,841000.0,329000.0,834000.0,312000.0,2104000.0,424000.0,650000.0,554000.0,880000.0,554000.0,257000.0,0.0,1297000.0,12.7,39.0
260,Jawa Timur,Perdesaan,Laki-laki,46.0,SD,Buruh/Pekerja Harian,Menikah,2.0,1200000.0,808000,126000.0,168000.0,84000.0,116000.0,55000.0,70000.0,21000.0,33000.0,41000.0,49000.0,27000.0,,77000.0,392000.0,,36.4
325,Jawa Barat,Perdesaan,Perempuan,30.0,SD,Wiraswasta,Cerai/Janda/Duda,2.0,2800000.0,1963000,250000.0,301000.0,135000.0,222000.0,3000.0,344000.0,95000.0,72000.0,128000.0,129000.0,,47000.0,0.0,837000.0,29.9,28.8
480,Jawa Tengah,Perdesaan,Perempuan,37.0,SMP,Wiraswasta,Cerai/Janda/Duda,0.0,3050000.0,2575000,251000.0,305000.0,123000.0,,79000.0,375000.0,115000.0,102000.0,0.0,163000.0,159000.0,97000.0,86000.0,475000.0,15.6,39.8
1108,Bali,Perkotaan,Laki-laki,33.0,SMP,Karyawan Swasta,Menikah,1.0,9650000.0,8123000,657000.0,,427000.0,536000.0,30000.0,1436000.0,341000.0,530000.0,419000.0,1018000.0,452000.0,175000.0,1086000.0,1527000.0,,47.0
837,Jawa Barat,Perkotaan,Laki-laki,37.0,SD,Wiraswasta,Menikah,0.0,3500000.0,2648000,260000.0,322000.0,,200000.0,125000.0,407000.0,75000.0,119000.0,0.0,263000.0,125000.0,93000.0,84000.0,852000.0,24.3,55.2
1324,DKI Jakarta,Perkotaan,Perempuan,52.0,SMA/SMK,Buruh/Pekerja Harian,Belum Menikah,0.0,1750000.0,1615000,188000.0,250000.0,97000.0,194000.0,56000.0,257000.0,53000.0,68000.0,0.0,,50000.0,58000.0,119000.0,185000.0,10.3,57.6
71,Jawa Tengah,Perdesaan,Perempuan,29.0,,Buruh/Pekerja Harian,Menikah,1.0,700000.0,471000,77000.0,73000.0,,,12000.0,49000.0,12000.0,20000.0,27000.0,35000.0,16000.0,7000.0,112000.0,229000.0,32.8,57.1
232,DKI Jakarta,Perdesaan,Laki-laki,17.0,SMA/SMK,Karyawan Swasta,Menikah,3.0,6100000.0,4094000,366000.0,432000.0,281000.0,328000.0,138000.0,764000.0,153000.0,,197000.0,356000.0,,79000.0,1178000.0,2006000.0,32.9,
